FinancialYear,FinancialYearQF,HB,HBQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,SpecialtyGrouping,SpecialtyGroupingQF,AverageAvailableStaffedBeds,AverageAvailableStaffedBedsQF,PercentageOccupancy,PercentageOccupancyQF,AllStaffedBeds,AllStaffedBedsQF,AverageOccupiedBeds,AverageOccupiedBedsQF,TotalOccupiedBeds,TotalOccupiedBedsQF
2016/17,,S08000031,,A7,,Dermatology,,Medical Grouping,,9,,93.9,,3147,,8.093150684931507,,2954,
2016/17,,S08000031,,A8,,Endocrinology & Diabetes,,Medical Grouping,,5,,100,,1733,,4.747945205479452,,1733,
2016/17,,S08000031,,A9,,Gastroenterology,,Medical Grouping,,83,,95.6,,30198,,79.06575342465753,,28859,
2016/17,,S08000031,,AB,,Geriatric Medicine,,Medical Grouping,,1038,,91.7,,378821,,951.8931506849315,,347441,
2016/17,,S08000031,,AC,,Homeopathy,,Other Grouping,,0,,100,,5,,0.0136986301369863,,5,
2016/17,,S08000031,,AD,,Medical Oncology,,Medical Grouping,,39,,67.7,,14310,,26.53150684931507,,9684,
2016/17,,S08000031,,AF,,Paediatrics,,Paediatrics Grouping,,154,,67.3,,56173,,103.57534246575342,,37805,
2016/17,,S08000031,,AG,,Renal Medicine,,Medical Grouping,,64,,95,,23322,,60.723287671232875,,22164,
2016/17,,S08000031,,AH,,Neurology,,Medical Grouping,,41,,87.2,,14829,,35.43287671232877,,12933,
2016/17,,S08000031,,AJ,,Integrative Care,,Other Grouping,,4,,85.4,,1552,,3.632876712328767,,1326,
2016/17,,S08000031,,AP,,Rehabilitation Medicine,,Medical Grouping,,87,,88.6,,31757,,77.06027397260274,,28127,
2016/17,,S08000031,,AQ,,Respiratory Medicine,,Medical Grouping,,210,,94.5,,76798,,198.92054794520547,,72606,
2016/17,,S08000031,,AR,,Rheumatology,,Medical Grouping,,25,,97.4,,9147,,24.413698630136988,,8911,
2016/17,,S08000031,,AW,,Allergy,,Medical Grouping,,0,,,z,0,,0,,0,
2016/17,,S08000031,,C1,,General Surgery,,Surgery Grouping,,522,,77,,190518,,401.99452054794523,,146728,
2016/17,,S08000031,,C2,,Accident & Emergency,,Emergency Grouping,,14,,51.8,,4998,,7.087671232876712,,2587,
2016/17,,S08000031,,C3,,Anaesthetics,,Surgery Grouping,,56,,60.1,,20557,,33.85753424657534,,12358,
2016/17,,S08000031,,C4,,Cardiothoracic Surgery,,Surgery Grouping,,9,,71.8,,3371,,6.627397260273972,,2419,
2016/17,,S08000031,,C5,,"Ear, Nose & Throat (ENT)",,Surgery Grouping,,38,,83,,14020,,31.89041095890411,,11640,
2016/17,,S08000031,,C6,,Neurosurgery,,Surgery Grouping,,92,,76.5,,33430,,70.06849315068493,,25575,
2016/17,,S08000031,,C7,,Ophthalmology,,Surgery Grouping,,14,,63.5,,5224,,9.082191780821917,,3315,
2016/17,,S08000031,,C8,,Trauma and Orthopaedic Surgery,,Surgery Grouping,,319,,77.3,,116306,,246.3945205479452,,89934,
2016/17,,S08000031,,C9,,Plastic Surgery,,Surgery Grouping,,47,,70.7,,17083,,33.0986301369863,,12081,
2016/17,,S08000031,,CA,,Paediatric Surgery,,Paediatrics Grouping,,22,,72.9,,8109,,16.197260273972603,,5912,
2016/17,,S08000031,,CB,,Urology,,Surgery Grouping,,89,,76.6,,32356,,67.8958904109589,,24782,
2016/17,,S08000031,,D1,,Community Dental Practice,,Dental Grouping,,0,,100,,3,,0.00821917808219178,,3,
2016/17,,S08000031,,D3,,Oral Surgery,,Dental Grouping,,0,,100,,155,,0.4246575342465753,,155,
2016/17,,S08000031,,D8,,Paediatric Dentistry,,Paediatrics Grouping,,0,,100,,57,,0.15616438356164383,,57,
2016/17,,S08000031,,F2,,Gynaecology,,Women and Newborn Grouping,,59,,60.9,,21428,,35.75342465753425,,13050,
2016/17,,S08000031,,F3,,Obstetrics,,Women and Newborn Grouping,,174,,75,,63473,,130.41643835616438,,47602,
2016/17,,S08000031,,G1,,General Psychiatry (Mental Illness),,Mental Health Grouping,,527,,91.1,,192521,,480.43013698630136,,175357,
2016/17,,S08000031,,G2,,Child & Adolescent Psychiatry,,Mental Health Grouping,,48,,81.7,,17428,,39.013698630136986,,14240,
2016/17,,S08000031,,G3,,Forensic Psychiatry,,Mental Health Grouping,,127,,93.8,,46188,,118.67123287671232,,43315,
2016/17,,S08000031,,G4,,Psychiatry of Old Age,,Mental Health Grouping,,456,,84,,166601,,383.4328767123288,,139953,
2016/17,,S08000031,,G5,,Learning Disability,,Learning Disability Grouping,,42,,91,,15246,,37.99452054794521,,13868,
2016/17,,S08000031,,GLS,,Geriatric Medicine - long stay unit,,Other Grouping,,270,,80.3,,98696,,217.13972602739727,,79256,
2016/17,,S08000031,,H1,,Clinical Radiology,,Medical Grouping,,0,,100,,18,,0.049315068493150684,,18,
2016/17,,S08000031,,H2,,Clinical Oncology,,Medical Grouping,,78,,73.7,,28532,,57.583561643835615,,21018,
2016/17,,S08000031,,J4,,Haematology,,Medical Grouping,,76,,84.1,,27735,,63.9013698630137,,23324,
2016/17,,S08000031,,J5,,Immunology,,Medical Grouping,,1,,9.9,,374,,0.10136986301369863,,37,
2016/17,,S08000031,,XSU,,Unspecified,,Other Grouping,,54,,0,,19624,,0,,0,
2016/17,,S08000031,,,z,All Acute Specialties,d,All Acute Specialties,d,4088,,85.8,,1492229,,3508.3315068493152,,1280541,
2016/17,,S08000031,,,z,All Specialties,d,All Specialties,d,6040,,84.1,,2204486,,5082.279452054794,,1855032,
2016/17,,S08000031,,,z,Dental Grouping,d,Dental Grouping,,0,,100,,158,,0.4328767123287671,,158,
2016/17,,S08000031,,,z,Emergency Grouping,d,Emergency Grouping,,14,,51.8,,4998,,7.087671232876712,,2587,
2016/17,,S08000031,,,z,Learning Disability Grouping,d,Learning Disability Grouping,,42,,91,,15246,,37.99452054794521,,13868,
2016/17,,S08000031,,,z,Medical Grouping,d,Medical Grouping,,2902,,89.8,,1059364,,2607.4219178082194,,951709,
2016/17,,S08000031,,,z,Mental Health Grouping,d,Mental Health Grouping,,1158,,88.2,,422738,,1021.5479452054794,,372865,
2016/17,,S08000031,,,z,Other Grouping,d,Other Grouping,,328,,67.2,,119877,,220.78630136986303,,80587,
2016/17,,S08000031,,,z,Paediatrics Grouping,d,Paediatrics Grouping,,176,,68,,64339,,119.92876712328767,,43774,
2016/17,,S08000031,,,z,Surgery Grouping,d,Surgery Grouping,,1186,,76,,432865,,900.9095890410958,,328832,
2016/17,,S08000031,,,z,Women and Newborn Grouping,d,Women and Newborn Grouping,,233,,71.4,,84901,,166.16986301369863,,60652,
2016/17,,S08000032,,A1,,General Medicine,,Medical Grouping,,443,,89.5,,161701,,396.6,,144759,
2016/17,,S08000032,,A2,,Cardiology,,Medical Grouping,,65,,93.4,,23774,,60.81643835616438,,22198,
2016/17,,S08000032,,A6,,Infectious Diseases,,Medical Grouping,,16,,94,,5876,,15.139726027397261,,5526,
2016/17,,S08000032,,A7,,Dermatology,,Medical Grouping,,5,,96.3,,1810,,4.7753424657534245,,1743,
2016/17,,S08000032,,A8,,Endocrinology & Diabetes,,Medical Grouping,,0,,100,,128,,0.3506849315068493,,128,
2016/17,,S08000032,,A9,,Gastroenterology,,Medical Grouping,,7,,100,,2686,,7.358904109589041,,2686,
2016/17,,S08000032,,AB,,Geriatric Medicine,,Medical Grouping,,329,,94.7,,119950,,311.1397260273973,,113566,
2016/17,,S08000032,,AD,,Medical Oncology,,Medical Grouping,,0,,,z,0,,0,,0,
2016/17,,S08000032,,AF,,Paediatrics,,Paediatrics Grouping,,68,,54.1,,24778,,36.74246575342466,,13411,
2016/17,,S08000032,,AG,,Renal Medicine,,Medical Grouping,,15,,89.3,,5542,,13.561643835616438,,4950,
2016/17,,S08000032,,AM,,Palliative Medicine,,Medical Grouping,,48,e,81.6,e,17616,e,39.37260273972603,e,14371,e
2016/17,,S08000032,,AQ,,Respiratory Medicine,,Medical Grouping,,1,,100,,251,,0.6876712328767123,,251,
2016/17,,S08000032,,AR,,Rheumatology,,Medical Grouping,,2,,72.9,,783,,1.5643835616438355,,571,
2016/17,,S08000032,,C1,,General Surgery,,Surgery Grouping,,222,,83.7,,81202,,186.2,,67963,
2016/17,,S08000032,,C2,,Accident & Emergency,,Emergency Grouping,,4,,16.3,,1626,,0.726027397260274,,265,
2016/17,,S08000032,,C3,,Anaesthetics,,Surgery Grouping,,14,,22.8,,5114,,3.2,,1168,
2016/17,,S08000032,,C5,,"Ear, Nose & Throat (ENT)",,Surgery Grouping,,21,,68.9,,7599,,14.342465753424657,,5235,
2016/17,,S08000032,,C7,,Ophthalmology,,Surgery Grouping,,1,,100,,475,,1.3013698630136987,,475,
2016/17,,S08000032,,C8,,Trauma and Orthopaedic Surgery,,Surgery Grouping,,124,,79.3,,45138,,98.05479452054794,,35790,
2016/17,,S08000032,,CA,,Paediatric Surgery,,Paediatrics Grouping,,0,,100,,1,,0.0027397260273972603,,1,
2016/17,,S08000032,,CB,,Urology,,Surgery Grouping,,33,,86.4,,11971,,28.339726027397262,,10344,
2016/17,,S08000032,,D1,,Community Dental Practice,,Dental Grouping,,0,,,z,0,,0,,0,
2016/17,,S08000032,,F2,,Gynaecology,,Women and Newborn Grouping,,11,,76.2,,4136,,8.635616438356164,,3152,
2016/17,,S08000032,,F3,,Obstetrics,,Women and Newborn Grouping,,54,,70.7,,19826,,38.42191780821918,,14024,
2016/17,,S08000032,,G1,,General Psychiatry (Mental Illness),,Mental Health Grouping,,127,,83.8,,46289,,106.32602739726028,,38809,
2016/17,,S08000032,,G2,,Child & Adolescent Psychiatry,,Mental Health Grouping,,0,,100,,26,,0.07123287671232877,,26,
2016/17,,S08000032,,G3,,Forensic Psychiatry,,Mental Health Grouping,,17,,98.1,,6046,,16.243835616438357,,5929,
2016/17,,S08000032,,G4,,Psychiatry of Old Age,,Mental Health Grouping,,272,,59.2,,99386,,161.07945205479453,,58794,
2016/17,,S08000032,,G5,,Learning Disability,,Learning Disability Grouping,,14,,93.4,,4992,,12.778082191780822,,4664,
2016/17,,S08000032,,GLS,,Geriatric Medicine - long stay unit,,Other Grouping,,317,,66.5,,115691,,210.92328767123288,,76987,
2016/17,,S08000032,,H1,,Clinical Radiology,,Medical Grouping,,0,,100,,54,,0.14794520547945206,,54,
2016/17,,S08000032,,J4,,Haematology,,Medical Grouping,,14,,98.7,,5125,,13.857534246575343,,5058,
2016/17,,S08000032,,,z,All Acute Specialties,d,All Acute Specialties,d,1361,,87.9,,496795,,1196.8109589041096,,436836,
2016/17,,S08000032,,,z,All Specialties,d,All Specialties,d,2245,,79.7,,819592,,1788.7616438356165,,652898,
2016/17,,S08000032,,,z,Dental Grouping,d,Dental Grouping,,0,,,z,0,,0,,0,
2016/17,,S08000032,,,z,Emergency Grouping,d,Emergency Grouping,,4,,16.3,,1626,,0.726027397260274,,265,
2016/17,,S08000032,,,z,Learning Disability Grouping,d,Learning Disability Grouping,,14,,93.4,,4992,,12.778082191780822,,4664,
2016/17,,S08000032,,,z,Medical Grouping,d,Medical Grouping,,946,,91.5,,345296,,865.3726027397261,,315861,
2016/17,,S08000032,,,z,Mental Health Grouping,d,Mental Health Grouping,,416,,68.2,,151747,,283.72054794520545,,103558,
2016/17,,S08000032,,,z,Other Grouping,d,Other Grouping,,317,,66.5,,115691,,210.92328767123288,,76987,
2016/17,,S08000032,,,z,Paediatrics Grouping,d,Paediatrics Grouping,,68,,54.1,,24779,,36.74520547945205,,13412,
2016/17,,S08000032,,,z,Surgery Grouping,d,Surgery Grouping,,415,,79.9,,151499,,331.43835616438355,,120975,
2016/17,,S08000032,,,z,Women and Newborn Grouping,d,Women and Newborn Grouping,,66,,71.7,,23962,,47.057534246575344,,17176,
2016/17,,SB0801,,A2,,Cardiology,,Medical Grouping,,29,,88.4,,10500,,25.416438356164385,,9277,
2016/17,,SB0801,,AQ,,Respiratory Medicine,,Medical Grouping,,1,,98.8,,507,,1.3726027397260274,,501,
2016/17,,SB0801,,C1,,General Surgery,,Surgery Grouping,,1,,100,,296,,0.810958904109589,,296,
2016/17,,SB0801,,C4,,Cardiothoracic Surgery,,Surgery Grouping,,87,,68.2,,31682,,59.224657534246575,,21617,
2016/17,,SB0801,,C7,,Ophthalmology,,Surgery Grouping,,0,,,z,0,,0,,0,
2016/17,,SB0801,,C8,,Trauma and Orthopaedic Surgery,,Surgery Grouping,,60,,79.2,,21990,,47.706849315068496,,17413,
2016/17,,SB0801,,C9,,Plastic Surgery,,Surgery Grouping,,0,,100,,52,,0.14246575342465753,,52,
2016/17,,SB0801,,,z,All Acute Specialties,d,All Acute Specialties,d,178,,75.6,,65027,,134.67397260273972,,49156,
2016/17,,SB0801,,,z,All Specialties,d,All Specialties,d,178,,75.6,,65027,,134.67397260273972,,49156,
2016/17,,SB0801,,,z,Medical Grouping,d,Medical Grouping,,30,,88.8,,11007,,26.78904109589041,,9778,
2016/17,,SB0801,,,z,Surgery Grouping,d,Surgery Grouping,,148,,72.9,,54020,,107.88493150684931,,39378,
2016/17,,S92000003,d,A1,,General Medicine,,Medical Grouping,,3410,,88.9,,1244702,,3032.3506849315067,,1106808,
2016/17,,S92000003,d,A2,,Cardiology,,Medical Grouping,,524,,88.9,,191151,,465.7917808219178,,170014,
2016/17,,S92000003,d,A3,,Clinical Genetics,,Medical Grouping,,0,,100,,1,,0.0027397260273972603,,1,
2016/17,,S92000003,d,A6,,Infectious Diseases,,Medical Grouping,,113,,91.3,,41196,,103.03287671232877,,37607,
2016/17,,S92000003,d,A7,,Dermatology,,Medical Grouping,,35,,83.9,,12718,,29.24931506849315,,10676,
2016/17,,S92000003,d,A8,,Endocrinology & Diabetes,,Medical Grouping,,32,,95.1,,11576,,30.153424657534245,,11006,
2016/17,,S92000003,d,A9,,Gastroenterology,,Medical Grouping,,262,,95,,95761,,249.2931506849315,,90992,
2016/17,,S92000003,d,AB,,Geriatric Medicine,,Medical Grouping,,3234,,92,,1180524,,2974.328767123288,,1085630,
2016/17,,S92000003,d,AC,,Homeopathy,,Other Grouping,,0,,100,,5,,0.0136986301369863,,5,
2016/17,,S92000003,d,AD,,Medical Oncology,,Medical Grouping,,81,,79.4,,29681,,64.53150684931506,,23554,
2016/17,,S92000003,d,AF,,Paediatrics,,Paediatrics Grouping,,683,,58.5,,249403,,399.86301369863014,,145950,
2016/17,,S92000003,d,AG,,Renal Medicine,,Medical Grouping,,197,,89,,71807,,175.06301369863013,,63898,
2016/17,,S92000003,d,AH,,Neurology,,Medical Grouping,,83,,82.3,,30463,,68.7068493150685,,25078,
2016/17,,S92000003,d,AJ,,Integrative Care,,Other Grouping,,4,,85.4,,1552,,3.632876712328767,,1326,
2016/17,,S92000003,d,AM,,Palliative Medicine,,Medical Grouping,,178,,73.9,,64993,,131.57260273972602,,48024,
2016/17,,S92000003,d,AP,,Rehabilitation Medicine,,Medical Grouping,,421,,84.4,,153695,,355.4547945205479,,129741,
2016/17,,S92000003,d,AQ,,Respiratory Medicine,,Medical Grouping,,488,,93.6,,178223,,456.8876712328767,,166764,
2016/17,,S92000003,d,AR,,Rheumatology,,Medical Grouping,,43,,88,,15793,,38.06027397260274,,13892,
2016/17,,S92000003,d,AW,,Allergy,,Medical Grouping,,0,,,z,0,,0,,0,
2016/17,,S92000003,d,C1,,General Surgery,,Surgery Grouping,,1805,,80.2,,658736,,1447.4,,528301,
2016/17,,S92000003,d,C2,,Accident & Emergency,,Emergency Grouping,,55,,45.1,,20226,,25.01095890410959,,9129,
2016/17,,S92000003,d,C3,,Anaesthetics,,Surgery Grouping,,177,,63.4,,64698,,112.31506849315069,,40995,
2016/17,,S92000003,d,C4,,Cardiothoracic Surgery,,Surgery Grouping,,179,,76.9,,65432,,137.8849315068493,,50328,
2016/17,,S92000003,d,C5,,"Ear, Nose & Throat (ENT)",,Surgery Grouping,,137,,70.9,,50028,,97.17808219178082,,35470,
2016/17,,S92000003,d,C6,,Neurosurgery,,Surgery Grouping,,184,,78.9,,67279,,145.39178082191782,,53068,
2016/17,,S92000003,d,C7,,Ophthalmology,,Surgery Grouping,,52,,58.6,,19151,,30.77260273972603,,11232,
2016/17,,S92000003,d,C8,,Trauma and Orthopaedic Surgery,,Surgery Grouping,,1237,,77.8,,451562,,962.7972602739726,,351421,
2016/17,,S92000003,d,C9,,Plastic Surgery,,Surgery Grouping,,116,,64.4,,42375,,74.71780821917808,,27272,
2016/17,,S92000003,d,CA,,Paediatric Surgery,,Paediatrics Grouping,,46,,59.3,,16842,,27.372602739726027,,9991,
2016/17,,S92000003,d,CB,,Urology,,Surgery Grouping,,275,,84.5,,100373,,232.34246575342465,,84805,
2016/17,,S92000003,d,D1,,Community Dental Practice,,Dental Grouping,,0,,100,,8,,0.021917808219178082,,8,
2016/17,,S92000003,d,D3,,Oral Surgery,,Dental Grouping,,5,,62,,1982,,3.3643835616438356,,1228,
2016/17,,S92000003,d,D4,,Oral Medicine,,Dental Grouping,,0,,100,,2,,0.005479452054794521,,2,
2016/17,,S92000003,d,D6,,Restorative Dentistry,,Dental Grouping,,0,,100,,1,,0.0027397260273972603,,1,
2016/17,,S92000003,d,D8,,Paediatric Dentistry,,Paediatrics Grouping,,0,,100,,71,,0.19452054794520549,,71,
2016/17,,S92000003,d,E11,,GP Obstetrics,,Women and Newborn Grouping,,16,,9.5,,5942,,1.5397260273972602,,562,
2016/17,,S92000003,d,E12,,GP Other than Obstetrics,,Community Grouping,,939,,76.2,,342814,,715.3917808219178,,261118,
2016/17,,S92000003,d,F1,,Obstetrics & Gynaecology,,Obstetrics Grouping,,0,,100,,30,,0.0821917808219178,,30,
2016/17,,S92000003,d,F2,,Gynaecology,,Women and Newborn Grouping,,182,,62.5,,66283,,113.5068493150685,,41430,
2016/17,,S92000003,d,F3,,Obstetrics,,Women and Newborn Grouping,,683,,65,,249348,,443.75616438356167,,161971,
2016/17,,S92000003,d,G1,,General Psychiatry (Mental Illness),,Mental Health Grouping,,1780,,83.7,,649813,,1489.4219178082192,,543639,
2016/17,,S92000003,d,G2,,Child & Adolescent Psychiatry,,Mental Health Grouping,,72,,73.6,,26363,,53.134246575342466,,19394,
2016/17,,S92000003,d,G3,,Forensic Psychiatry,,Mental Health Grouping,,327,,82.6,,119204,,269.8986301369863,,98513,
2016/17,,S92000003,d,G4,,Psychiatry of Old Age,,Mental Health Grouping,,1835,,78.4,,669940,,1438.268493150685,,524968,
2016/17,,S92000003,d,G5,,Learning Disability,,Learning Disability Grouping,,281,,83.1,,102614,,233.52328767123288,,85236,
2016/17,,S92000003,d,GLS,,Geriatric Medicine - long stay unit,,Other Grouping,,1160,,81,,423491,,940.0767123287671,,343128,
2016/17,,S92000003,d,H1,,Clinical Radiology,,Medical Grouping,,0,,100,,82,,0.22465753424657534,,82,
2016/17,,S92000003,d,H2,,Clinical Oncology,,Medical Grouping,,167,,76.8,,61058,,128.43835616438355,,46880,
2016/17,,S92000003,d,J4,,Haematology,,Medical Grouping,,210,,86.7,,76567,,181.84657534246574,,66374,
2016/17,,S92000003,d,J5,,Immunology,,Medical Grouping,,1,,9.9,,374,,0.10136986301369863,,37,
2016/17,,S92000003,d,T1,,General nursing,,Community Grouping,,0,,100,,8,,0.021917808219178082,,8,
2016/17,,S92000003,d,T2,,Midwifery,,Women and Newborn Grouping,,31,,26.9,,11394,,8.383561643835616,,3060,
2016/17,,S92000003,d,XSU,,Unspecified,,Other Grouping,,112,,0,,40730,,0,,0,
2016/17,,S92000003,d,,z,All Acute Specialties,d,All Acute Specialties,d,13644,,85.9,,4979999,,11725.890410958904,,4279950,
2016/17,,S92000003,d,,z,All Specialties,d,All Specialties,d,21858,,81.9,,7978065,,17892.378082191783,,6530718,
2016/17,,S92000003,d,,z,Community Grouping,d,Community Grouping,,939,,76.2,,342822,,715.413698630137,,261126,
2016/17,,S92000003,d,,z,Dental Grouping,d,Dental Grouping,,5,,62.2,,1993,,3.3945205479452056,,1239,
2016/17,,S92000003,d,,z,Emergency Grouping,d,Emergency Grouping,,55,,45.1,,20226,,25.01095890410959,,9129,
2016/17,,S92000003,d,,z,Learning Disability Grouping,d,Learning Disability Grouping,,281,,83.1,,102614,,233.52328767123288,,85236,
2016/17,,S92000003,d,,z,Medical Grouping,d,Medical Grouping,,9480,,89.5,,3460365,,8485.090410958905,,3097058,
2016/17,,S92000003,d,,z,Mental Health Grouping,d,Mental Health Grouping,,4015,,81,,1465320,,3250.723287671233,,1186514,
2016/17,,S92000003,d,,z,Obstetrics Grouping,d,Obstetrics Grouping,,0,,100,,30,,0.0821917808219178,,30,
2016/17,,S92000003,d,,z,Other Grouping,d,Other Grouping,,1276,,74,,465778,,943.7232876712329,,344459,
2016/17,,S92000003,d,,z,Paediatrics Grouping,d,Paediatrics Grouping,,730,,58.6,,266316,,427.43013698630136,,156012,
2016/17,,S92000003,d,,z,Surgery Grouping,d,Surgery Grouping,,4163,,77.8,,1519634,,3240.8,,1182892,
2016/17,,S92000003,d,,z,Women and Newborn Grouping,d,Women and Newborn Grouping,,912,,62.2,,332967,,567.186301369863,,207023,
2017/18,,S08000015,,A1,,General Medicine,,Medical Grouping,,450,,96.9,,164107,,435.54794520547944,,158975,
2017/18,,S08000015,,A2,,Cardiology,,Medical Grouping,,22,,92.4,,7887,,19.958904109589042,,7285,
2017/18,,S08000015,,A6,,Infectious Diseases,,Medical Grouping,,0,,100,,1,,0.0027397260273972603,,1,
2017/18,,S08000015,,A7,,Dermatology,,Medical Grouping,,1,,79.3,,522,,1.1342465753424658,,414,
2017/18,,S08000015,,A8,,Endocrinology & Diabetes,,Medical Grouping,,0,,100,,140,,0.3835616438356164,,140,
2017/18,,S08000015,,A9,,Gastroenterology,,Medical Grouping,,0,,100,,68,,0.1863013698630137,,68,
2017/18,,S08000015,,AB,,Geriatric Medicine,,Medical Grouping,,269,,90.9,,98336,,244.87671232876713,,89380,
2017/18,,S08000015,,AD,,Medical Oncology,,Medical Grouping,,2,,22.8,,556,,0.34794520547945207,,127,
2017/18,,S08000015,,AF,,Paediatrics,,Paediatrics Grouping,,33,,73.8,,12187,,24.65753424657534,,9000,
2017/18,,S08000015,,AG,,Renal Medicine,,Medical Grouping,,12,,97.5,,4385,,11.717808219178082,,4277,
2017/18,,S08000015,,AH,,Neurology,,Medical Grouping,,0,,100,,5,,0.0136986301369863,,5,
2017/18,,S08000015,,AP,,Rehabilitation Medicine,,Medical Grouping,,13,,80.6,,4896,,10.810958904109588,,3946,
2017/18,,S08000015,,AQ,,Respiratory Medicine,,Medical Grouping,,1,,100,,463,,1.2684931506849315,,463,
2017/18,,S08000015,,AR,,Rheumatology,,Medical Grouping,,0,,100,,29,,0.07945205479452055,,29,
2017/18,,S08000015,,C1,,General Surgery,,Surgery Grouping,,120,,89,,43845,,106.86849315068493,,39007,
2017/18,,S08000015,,C2,,Accident & Emergency,,Emergency Grouping,,4,,100,,1354,,3.7095890410958905,,1354,
2017/18,,S08000015,,C3,,Anaesthetics,,Surgery Grouping,,10,,71.5,,3676,,7.2,,2628,
2017/18,,S08000015,,C5,,"Ear, Nose & Throat (ENT)",,Surgery Grouping,,9,,94.5,,3465,,8.967123287671233,,3273,
2017/18,,S08000015,,C7,,Ophthalmology,,Surgery Grouping,,3,,62.4,,956,,1.6356164383561644,,597,
2017/18,,S08000015,,C8,,Trauma and Orthopaedic Surgery,,Surgery Grouping,,95,,83.9,,34822,,80.0027397260274,,29201,
2017/18,,S08000015,,C9,,Plastic Surgery,,Surgery Grouping,,0,,100,,1,,0.0027397260273972603,,1,
2017/18,,S08000015,,CA,,Paediatric Surgery,,Paediatrics Grouping,,0,,100,,50,,0.136986301369863,,50,
2017/18,,S08000015,,CB,,Urology,,Surgery Grouping,,23,,79.9,,8365,,18.304109589041097,,6681,
2017/18,,S08000015,,D1,,Community Dental Practice,,Dental Grouping,,0,,100,,1,,0.0027397260273972603,,1,
2017/18,,S08000015,,E11,,GP Obstetrics,,Women and Newborn Grouping,,0,,100,,1,,0.0027397260273972603,,1,
2017/18,,S08000015,,E12,,GP Other than Obstetrics,,Community Grouping,,61,,69.8,,22323,,42.70958904109589,,15589,
2017/18,,S08000015,,F2,,Gynaecology,,Women and Newborn Grouping,,13,,59,,4647,,7.517808219178082,,2744,
2017/18,,S08000015,,F3,,Obstetrics,,Women and Newborn Grouping,,28,,80.8,,10095,,22.336986301369862,,8153,
2017/18,,S08000015,,G1,,General Psychiatry (Mental Illness),,Mental Health Grouping,,101,,84.5,,36855,,85.33150684931506,,31146,
2017/18,,S08000015,,G3,,Forensic Psychiatry,,Mental Health Grouping,,23,,64.1,,8559,,15.035616438356165,,5488,
2017/18,,S08000015,,G4,,Psychiatry of Old Age,,Mental Health Grouping,,142,,69.3,,51766,,98.27671232876712,,35871,
2017/18,,S08000015,,G5,,Learning Disability,,Learning Disability Grouping,,19,,68.1,,6935,,12.931506849315069,,4720,
2017/18,,S08000015,,GLS,,Geriatric Medicine - long stay unit,,Other Grouping,,68,,84.3,,24919,,57.56438356164384,,21011,
2017/18,,S08000015,,H1,,Clinical Radiology,,Medical Grouping,,0,,100,,2,,0.005479452054794521,,2,
2017/18,,S08000015,,H2,,Clinical Oncology,,Medical Grouping,,0,,100,,1,,0.0027397260273972603,,1,
2017/18,,S08000015,,J4,,Haematology,,Medical Grouping,,12,,95.7,,4311,,11.304109589041095,,4126,
2017/18,,S08000015,,T2,,Midwifery,,Women and Newborn Grouping,,4,,100,,1430,,3.9178082191780823,,1430,
2017/18,,S08000015,,,z,All Acute Specialties,d,All Acute Specialties,d,1043,,92.1,,380839,,960.6219178082192,,350627,
2017/18,,S08000015,,,z,All Specialties,d,All Specialties,d,1540,,86.7,,561961,,1334.7534246575342,,487185,
2017/18,,S08000015,,,z,Community Grouping,d,Community Grouping,,61,,69.8,,22323,,42.70958904109589,,15589,
2017/18,,S08000015,,,z,Dental Grouping,d,Dental Grouping,,0,,100,,1,,0.0027397260273972603,,1,
2017/18,,S08000015,,,z,Emergency Grouping,d,Emergency Grouping,,4,,100,,1354,,3.7095890410958905,,1354,
2017/18,,S08000015,,,z,Learning Disability Grouping,d,Learning Disability Grouping,,19,,68.1,,6935,,12.931506849315069,,4720,
2017/18,,S08000015,,,z,Medical Grouping,d,Medical Grouping,,783,,94.2,,285709,,737.641095890411,,269239,
2017/18,,S08000015,,,z,Mental Health Grouping,d,Mental Health Grouping,,266,,74.6,,97180,,198.64383561643837,,72505,
2017/18,,S08000015,,,z,Other Grouping,d,Other Grouping,,68,,84.3,,24919,,57.56438356164384,,21011,
2017/18,,S08000015,,,z,Paediatrics Grouping,d,Paediatrics Grouping,,34,,74,,12237,,24.794520547945204,,9050,
2017/18,,S08000015,,,z,Surgery Grouping,d,Surgery Grouping,,261,,85.6,,95130,,222.9808219178082,,81388,
2017/18,,S08000015,,,z,Women and Newborn Grouping,d,Women and Newborn Grouping,,44,,76.2,,16173,,33.775342465753425,,12328,
2017/18,,S08000016,,A1,,General Medicine,,Medical Grouping,,92,,93.5,,33740,,86.40273972602739,,31537,
2017/18,,S08000016,,A2,,Cardiology,,Medical Grouping,,4,,100,,1580,,4.328767123287672,,1580,
2017/18,,S08000016,,A7,,Dermatology,,Medical Grouping,,0,,100,,3,,0.00821917808219178,,3,
2017/18,,S08000016,,A8,,Endocrinology & Diabetes,,Medical Grouping,,0,,100,,59,,0.16164383561643836,,59,
2017/18,,S08000016,,A9,,Gastroenterology,,Medical Grouping,,0,,100,,71,,0.19452054794520549,,71,
2017/18,,S08000016,,AB,,Geriatric Medicine,,Medical Grouping,,56,,99.2,,20364,,55.342465753424655,,20200,
2017/18,,S08000016,,AD,,Medical Oncology,,Medical Grouping,,0,,100,,12,,0.03287671232876712,,12,
